Poster,gRank,gTier,YO,SK,M1-5,M6-10,M11+
Scythe,17.0,Maegashira,Terunofuji,Takayasu,Kotonowaka,Ura,Ichiyamamoto
Shiroc,3.0,Juryo,Shodai,Mitakeumi,Chiyoshoma,Shimanoumi,Chiyonokuni
sivad,5.0,Maegashira,Terunofuji,Takayasu,Takanosho,Ura,Kagayaki
Skjorte,2.0,Sekiwake,Terunofuji,Mitakeumi,Hoshoryu,Tobizaru,Kagayaki
Spokes,11.0,Juryo,Terunofuji,Mitakeumi,Kotonowaka,Aoiyama,Kaisei
Takuan,11.0,Juryo,Terunofuji,Mitakeumi,Kotonowaka,Ura,Yutakayama
Teddybear,5.0,Juryo,Terunofuji,Takayasu,Chiyoshoma,Tobizaru,Yutakayama
Thauros,1.0,Sekiwake,Terunofuji,Takayasu,Hokutofuji,Ura,Ishiura
Tiny Bug Child,1.0,Komusubi,Terunofuji,Takayasu,Kotonowaka,Tobizaru,Endo
Tochiazuma,10.0,Maegashira,Terunofuji,Ichinojo,Daieisho,Tobizaru,Kotoeko
Vargatron,1.0,Komusubi,Terunofuji,Takayasu,Hoshoryu,Aoiyama,Ichiyamamoto
whats for dinner,2.0,Komusubi,Terunofuji,Takayasu,Hoshoryu,Terutsuyoshi,Endo
