Poster,Tier,Pick,Trade
Everyones Favorite Poster,M11+, Ura,
Fluffdaddy,Y/O, Terunofuji,
Fluffdaddy,S/K, Mitakeumi,
Fluffdaddy,M1-5, Tobizaru,
Fluffdaddy,M6-10, Onosho,
Fluffdaddy,M11+, Ura,
Foehammer007,Y/O, Takakeisho,4:Hakuho
Foehammer007,S/K, Wakatakakage,
Foehammer007,M1-5, Daieisho,
Foehammer007,M6-10, Onosho,
Foehammer007,M11+, Ichiyamamoto,
Glugglugs,Y/O, Takakeishō,
Glugglugs,S/K, Wakatakakage,
Glugglugs,M1-5, Daiesho,
Glugglugs,M6-10, AOIYAMA,
Glugglugs,M11+, Kaisei,
GoatSeeGuy,Y/O, Hakuho,
GoatSeeGuy,S/K, Wakatakakage,
GoatSeeGuy,M1-5, Hoshoryu,
GoatSeeGuy,M6-10, Takarafuji,
GoatSeeGuy,M11+, Ura,
Halloween Jack,Y/O, Shodai,
Halloween Jack,S/K, Mitakeumi,
Halloween Jack,M1-5, Okinoumi,
Halloween Jack,M6-10, Hidenoumi,
Halloween Jack,M11+, Chiyomaru,
Helianthus Annuus,Y/O, Takakeisho,4:Hakuho
Helianthus Annuus,S/K, Wakatakakage,
Helianthus Annuus,M1-5, Hokutofuji,
Helianthus Annuus,M6-10, Chiyoshoma,
Helianthus Annuus,M11+, Chiyomaru,
Ice Phisherman,Y/O, Hakuho,
Ice Phisherman,S/K, Wakatakakage,
Ice Phisherman,M1-5, Tobizaru,
Ice Phisherman,M6-10, Takarafuji,
Ice Phisherman,M11+, Kaisei,
ilmucche,Y/O, Shodai,
ilmucche,S/K, Meisei,
ilmucche,M1-5, Daiesho,
ilmucche,M6-10, Onosho,
ilmucche,M11+, TOCHINOSHIN,
jmzero,Y/O, Hakuho,
jmzero,S/K, Wakatakakage,
jmzero,M1-5, Ichinojo,
jmzero,M6-10, Takarafuji,
jmzero,M11+, Ichiyamamoto,
Jobbo_Fett,Y/O, Terunofuji,
Jobbo_Fett,S/K, Meisei,
Jobbo_Fett,M1-5, Endo,
Jobbo_Fett,M6-10, Terutsuyoshi,
Jobbo_Fett,M11+, Kaisei,
Kenning,Y/O, Takakeisho,3:Terunofuji
Kenning,S/K, Meisei,
Kenning,M1-5, Hoshoryu,
Kenning,M6-10, Kiribayama,
Kenning,M11+, Ichiyamamoto,
Khizan,Y/O, Terunofuji,
Khizan,S/K, Mitakeumi,
Khizan,M1-5, Tobizaru,
Khizan,M6-10, Onosho,
Khizan,M11+, Tochinoshin,
KungFu Grip,Y/O, Hakuho,
KungFu Grip,S/K, Wakatakakage,
KungFu Grip,M1-5, Hoshoryu,
KungFu Grip,M6-10, Myogiryu,
KungFu Grip,M11+, Ishiura,
Lid,Y/O, Terunofuji,
Lid,S/K, Mitakeumi,
Lid,M1-5, Hoshoryu,
Lid,M6-10, Kiribayama,
Lid,M11+, Chiyomaru,
Liquid Communism,Y/O, Terunofuji,
Liquid Communism,S/K, Wakatakakage,
Liquid Communism,M1-5, Daiesho,
Liquid Communism,M6-10, Chiyoshoma,
Liquid Communism,M11+, Tochinoshin,
LlamaTrauma,Y/O, Hakuho,
LlamaTrauma,S/K, Mitakeumi,
LlamaTrauma,M1-5, Ichinojo,
LlamaTrauma,M6-10, Myogiryu,
LlamaTrauma,M11+, Chiyonoo,
Log082,Y/O, Shodai,
Log082,S/K, Wakatakakage,
Log082,M1-5, Endo,7:Takanosho
Log082,M6-10, AOIYAMA,
Log082,M11+, Kaisei,
Maigius,Y/O, Takakeisho,3:Terunofuji
Maigius,S/K, Mitakeumi,
Maigius,M1-5, Hokutofuji,
Maigius,M6-10, Takarafuji,
Maigius,M11+, Daiamami,
MalarkeyToboggan,Y/O, Hakuho,
MalarkeyToboggan,S/K, Mitakeumi,
MalarkeyToboggan,M1-5, Daieisho,
MalarkeyToboggan,M6-10, Takarafuji,
MalarkeyToboggan,M11+, Chiyonokuni,
Marching Powder,Y/O, Hakuho,
Marching Powder,S/K, Wakatakakage,
Marching Powder,M1-5, Kotoeko,
Marching Powder,M6-10, Hidenoumi,
Marching Powder,M11+, Ishiura,
Martytoof,Y/O, Takakeisho,3:Hakuho
Martytoof,S/K, Wakatakakage,
Martytoof,M1-5, Tobizaru,
Martytoof,M6-10, AOIYAMA,
Martytoof,M11+, Chiyomaru,
MyChemicalImbalance,Y/O, Terunofuji,
MyChemicalImbalance,S/K, Mitakeumi,
MyChemicalImbalance,M1-5, Ichinojo,
MyChemicalImbalance,M6-10, Terutsoyoshi,
MyChemicalImbalance,M11+, Ura,
Neodoomium,Y/O, Terunofuji,
Neodoomium,S/K, Wakatakakage,
Neodoomium,M1-5, Endo,6:Hoshoryu
Neodoomium,M6-10, Chiyoshoma,
Neodoomium,M11+, Kaisei,
Netsky,Y/O, Takakeisho,3:Terunofuji
Netsky,S/K, Mitakeumi,
Netsky,M1-5, Endo,6:Hokutofuji
Netsky,M6-10, AOIYAMA,
Netsky,M11+, Chiyonoo,
NuclearPotato,Y/O, Hakuho,
NuclearPotato,S/K, Wakatakakage,
NuclearPotato,M1-5, Endo,
NuclearPotato,M6-10, Myogiryu,
NuclearPotato,M11+, Kaisei,
Pakled,Y/O, Terunofuji,
Pakled,S/K, Meisei,
Pakled,M1-5, Ichinojo,
Pakled,M6-10, Myogiryu,
Pakled,M11+, Chiyonokuni,
pseudodragon,Y/O, Takakeisho,3:Terunofuji
pseudodragon,S/K, Wakatakakage,
pseudodragon,M1-5, Takanosho,
pseudodragon,M6-10, Takarafuji,
pseudodragon,M11+, Kagayaki,
QuasiQuack,Y/O, Hakuho,
QuasiQuack,S/K, Wakatakakage,
QuasiQuack,M1-5, Kotoeko,
QuasiQuack,M6-10, Onosho,
QuasiQuack,M11+, Ura,
rare Magic card l00k,Y/O, Shodai,
rare Magic card l00k,S/K, Meisei,
rare Magic card l00k,M1-5, Tobizaru,
rare Magic card l00k,M6-10, AOIYAMA,
rare Magic card l00k,M11+, Ichiyamamoto,
ratmosphere,Y/O, Hakuho,
ratmosphere,S/K, Wakatakakage,
ratmosphere,M1-5, Takanosho,
